transaction_id;transaction_date;transaction_time;transaction_qty;store_location;product_id;unit_price;product_category;product_type
38;01.01.2023;09:00:24;2;Hell's Kitchen;40;3,75;Coffee;Barista Espresso
39;01.01.2023;09:07:13;1;Hell's Kitchen;45;3;Tea;Brewed herbal tea
40;01.01.2023;09:08:09;2;Hell's Kitchen;45;3;Tea;Brewed herbal tea
41;01.01.2023;09:08:13;1;Hell's Kitchen;24;3;Coffee;Drip coffee
42;01.01.2023;09:10:30;2;Lower Manhattan;60;3,75;Drinking Chocolate;Hot chocolate
43;01.01.2023;09:10:30;1;Lower Manhattan;78;4,5;Bakery;Scone
44;01.01.2023;09:11:06;1;Lower Manhattan;56;2,55;Tea;Brewed Chai tea
45;01.01.2023;09:11:06;1;Lower Manhattan;77;3;Bakery;Scone
46;01.01.2023;09:13:01;1;Lower Manhattan;44;2,5;Tea;Brewed herbal tea
47;01.01.2023;09:13:15;2;Lower Manhattan;56;2,55;Tea;Brewed Chai tea
48;01.01.2023;09:14:16;1;Lower Manhattan;48;2,5;Tea;Brewed Black tea
49;01.01.2023;09:14:17;1;Hell's Kitchen;23;2,5;Coffee;Drip coffee
50;01.01.2023;09:14:25;1;Hell's Kitchen;46;2,5;Tea;Brewed Green tea
51;01.01.2023;09:14:41;1;Hell's Kitchen;32;3;Coffee;Gourmet brewed coffee
52;01.01.2023;09:15:09;2;Lower Manhattan;47;3;Tea;Brewed Green tea
53;01.01.2023;09:15:13;2;Lower Manhattan;43;3;Tea;Brewed herbal tea
54;01.01.2023;09:19:21;2;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee
55;01.01.2023;09:19:26;1;Hell's Kitchen;59;4,5;Drinking Chocolate;Hot chocolate
56;01.01.2023;09:21:08;1;Lower Manhattan;38;3,75;Coffee;Barista Espresso
57;01.01.2023;09:22:17;1;Hell's Kitchen;45;3;Tea;Brewed herbal tea
58;01.01.2023;09:22:46;1;Lower Manhattan;34;2,45;Coffee;Premium brewed coffee
59;01.01.2023;09:29:56;2;Hell's Kitchen;36;3,75;Coffee;Premium brewed coffee
60;01.01.2023;09:29:56;1;Hell's Kitchen;74;3,5;Bakery;Biscotti
61;01.01.2023;09:29:57;1;Hell's Kitchen;53;3;Tea;Brewed Chai tea
62;01.01.2023;09:34:17;2;Hell's Kitchen;41;4,25;Coffee;Barista Espresso
63;01.01.2023;09:40:13;1;Lower Manhattan;41;4,25;Coffee;Barista Espresso
64;01.01.2023;09:41:22;2;Lower Manhattan;45;3;Tea;Brewed herbal tea
65;01.01.2023;09:41:22;1;Lower Manhattan;79;3,75;Bakery;Scone
66;01.01.2023;09:44:20;2;Lower Manhattan;54;2,5;Tea;Brewed Chai tea
67;01.01.2023;09:44:46;1;Lower Manhattan;24;3;Coffee;Drip coffee
68;01.01.2023;09:46:46;2;Lower Manhattan;37;3;Coffee;Barista Espresso
69;01.01.2023;09:47:40;2;Hell's Kitchen;40;3,75;Coffee;Barista Espresso
70;01.01.2023;09:50:44;2;Lower Manhattan;37;3;Coffee;Barista Espresso
71;01.01.2023;09:50:44;1;Lower Manhattan;69;3,25;Bakery;Biscotti
72;01.01.2023;09:52:58;1;Lower Manhattan;50;2,5;Tea;Brewed Black tea
73;01.01.2023;09:53:28;1;Hell's Kitchen;47;3;Tea;Brewed Green tea
74;01.01.2023;09:53:44;2;Hell's Kitchen;40;3,75;Coffee;Barista Espresso
75;01.01.2023;09:53:44;1;Hell's Kitchen;72;3,25;Bakery;Scone
76;01.01.2023;09:53:49;1;Hell's Kitchen;35;3,1;Coffee;Premium brewed coffee
77;01.01.2023;09:54:46;1;Lower Manhattan;23;2,5;Coffee;Drip coffee
78;01.01.2023;09:55:16;2;Lower Manhattan;43;3;Tea;Brewed herbal tea
79;01.01.2023;09:56:30;1;Hell's Kitchen;22;2;Coffee;Drip coffee
80;01.01.2023;10:00:39;2;Hell's Kitchen;32;3;Coffee;Gourmet brewed coffee
81;01.01.2023;10:03:55;2;Hell's Kitchen;36;3,75;Coffee;Premium brewed coffee
82;01.01.2023;10:14:49;1;Lower Manhattan;26;3;Coffee;Organic brewed coffee
83;01.01.2023;10:14:49;1;Lower Manhattan;71;3,75;Bakery;Pastry
84;01.01.2023;10:16:30;2;Lower Manhattan;32;3;Coffee;Gourmet brewed coffee
85;01.01.2023;10:16:33;1;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea
86;01.01.2023;10:18:14;2;Hell's Kitchen;41;4,25;Coffee;Barista Espresso
87;01.01.2023;10:18:52;2;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee
88;01.01.2023;10:19:42;2;Lower Manhattan;23;2,5;Coffee;Drip coffee
89;01.01.2023;10:24:19;1;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea
90;01.01.2023;10:25:22;2;Hell's Kitchen;56;2,55;Tea;Brewed Chai tea
91;01.01.2023;10:25:45;2;Lower Manhattan;58;3,5;Drinking Chocolate;Hot chocolate
92;01.01.2023;10:25:45;1;Lower Manhattan;74;3,5;Bakery;Biscotti
93;01.01.2023;10:27:48;2;Hell's Kitchen;47;3;Tea;Brewed Green tea
94;01.01.2023;10:30:07;1;Lower Manhattan;35;3,1;Coffee;Premium brewed coffee
95;01.01.2023;10:30:07;1;Lower Manhattan;70;3,25;Bakery;Scone
96;01.01.2023;10:35:47;1;Hell's Kitchen;60;3,75;Drinking Chocolate;Hot chocolate
97;01.01.2023;10:41:53;1;Lower Manhattan;59;4,5;Drinking Chocolate;Hot chocolate
98;01.01.2023;10:47:53;2;Lower Manhattan;36;3,75;Coffee;Premium brewed coffee
99;01.01.2023;10:49:13;2;Hell's Kitchen;51;3;Tea;Brewed Black tea
100;01.01.2023;10:49:51;2;Lower Manhattan;61;4,75;Drinking Chocolate;Hot chocolate
101;01.01.2023;10:51:17;1;Lower Manhattan;47;3;Tea;Brewed Green tea
102;01.01.2023;10:52:44;2;Hell's Kitchen;23;2,5;Coffee;Drip coffee
103;01.01.2023;10:52:44;1;Hell's Kitchen;73;3,75;Bakery;Pastry
104;01.01.2023;10:56:14;1;Lower Manhattan;38;3,75;Coffee;Barista Espresso
105;01.01.2023;10:56:14;1;Lower Manhattan;76;3,5;Bakery;Biscotti
106;01.01.2023;11:01:48;1;Astoria;22;2;Coffee;Drip coffee
107;01.01.2023;11:01:58;1;Astoria;38;3,75;Coffee;Barista Espresso
108;01.01.2023;11:01:58;1;Astoria;75;3,5;Bakery;Pastry
109;01.01.2023;11:03:25;2;Lower Manhattan;47;3;Tea;Brewed Green tea
110;01.01.2023;11:03:25;1;Lower Manhattan;75;3,5;Bakery;Pastry
111;01.01.2023;11:04:32;2;Hell's Kitchen;39;4,25;Coffee;Barista Espresso
112;01.01.2023;11:08:11;1;Astoria;59;4,5;Drinking Chocolate;Hot chocolate
113;01.01.2023;11:08:59;2;Hell's Kitchen;51;3;Tea;Brewed Black tea
114;01.01.2023;11:09:01;1;Astoria;59;4,5;Drinking Chocolate;Hot chocolate
115;01.01.2023;11:10:21;1;Astoria;47;3;Tea;Brewed Green tea
116;01.01.2023;11:10:21;1;Astoria;79;3,75;Bakery;Scone
117;01.01.2023;11:10:58;1;Astoria;46;2,5;Tea;Brewed Green tea
118;01.01.2023;11:12:29;1;Astoria;43;3;Tea;Brewed herbal tea
119;01.01.2023;11:16:02;2;Astoria;45;3;Tea;Brewed herbal tea
120;01.01.2023;11:21:00;2;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea
121;01.01.2023;11:21:04;2;Lower Manhattan;51;3;Tea;Brewed Black tea
122;01.01.2023;11:21:14;1;Astoria;60;3,75;Drinking Chocolate;Hot chocolate
123;01.01.2023;11:23:01;1;Hell's Kitchen;31;2,2;Coffee;Gourmet brewed coffee
124;01.01.2023;11:23:43;2;Lower Manhattan;60;3,75;Drinking Chocolate;Hot chocolate
125;01.01.2023;11:23:43;1;Lower Manhattan;77;3;Bakery;Scone
126;01.01.2023;11:25:35;2;Astoria;49;3;Tea;Brewed Black tea
127;01.01.2023;11:25:37;2;Lower Manhattan;40;3,75;Coffee;Barista Espresso
128;01.01.2023;11:28:15;2;Hell's Kitchen;44;2,5;Tea;Brewed herbal tea
129;01.01.2023;11:28:29;2;Astoria;33;3,5;Coffee;Gourmet brewed coffee
130;01.01.2023;11:29:25;2;Lower Manhattan;56;2,55;Tea;Brewed Chai tea
131;01.01.2023;11:29:57;2;Hell's Kitchen;35;3,1;Coffee;Premium brewed coffee
132;01.01.2023;11:29:57;1;Hell's Kitchen;78;4,5;Bakery;Scone
133;01.01.2023;11:30:22;1;Hell's Kitchen;23;2,5;Coffee;Drip coffee
134;01.01.2023;11:31:35;1;Hell's Kitchen;24;3;Coffee;Drip coffee
135;01.01.2023;11:31:43;2;Lower Manhattan;51;3;Tea;Brewed Black tea
136;01.01.2023;11:31:43;1;Lower Manhattan;72;3,25;Bakery;Scone
137;01.01.2023;11:31:53;2;Lower Manhattan;54;2,5;Tea;Brewed Chai tea
138;01.01.2023;11:31:53;1;Lower Manhattan;75;3,5;Bakery;Pastry
139;01.01.2023;11:39:14;1;Lower Manhattan;60;3,75;Drinking Chocolate;Hot chocolate
140;01.01.2023;11:39:14;1;Lower Manhattan;71;3,75;Bakery;Pastry
141;01.01.2023;11:40:26;2;Astoria;52;2,5;Tea;Brewed Chai tea
142;01.01.2023;11:43:57;2;Astoria;25;2,2;Coffee;Organic brewed coffee
143;01.01.2023;11:44:09;1;Lower Manhattan;38;3,75;Coffee;Barista Espresso
144;01.01.2023;11:47:13;1;Astoria;30;3;Coffee;Gourmet brewed coffee
145;01.01.2023;11:48:56;2;Hell's Kitchen;50;2,5;Tea;Brewed Black tea
146;01.01.2023;11:49:42;1;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea
147;01.01.2023;11:49:42;1;Hell's Kitchen;72;3,25;Bakery;Scone
148;01.01.2023;11:50:16;2;Astoria;26;3;Coffee;Organic brewed coffee
149;01.01.2023;11:50:23;2;Astoria;36;3,75;Coffee;Premium brewed coffee
150;01.01.2023;11:50:58;2;Lower Manhattan;45;3;Tea;Brewed herbal tea
151;01.01.2023;11:51:30;2;Hell's Kitchen;33;3,5;Coffee;Gourmet brewed coffee
152;01.01.2023;11:52:31;1;Lower Manhattan;57;3,1;Tea;Brewed Chai tea
153;01.01.2023;11:57:17;2;Astoria;37;3;Coffee;Barista Espresso
154;01.01.2023;11:57:59;1;Astoria;50;2,5;Tea;Brewed Black tea
155;01.01.2023;11:57:59;1;Astoria;79;3,75;Bakery;Scone
156;01.01.2023;11:58:15;2;Astoria;60;3,75;Drinking Chocolate;Hot chocolate
157;01.01.2023;12:00:20;1;Lower Manhattan;29;2,5;Coffee;Gourmet brewed coffee
158;01.01.2023;12:01:00;2;Astoria;49;3;Tea;Brewed Black tea
159;01.01.2023;12:01:20;2;Astoria;35;3,1;Coffee;Premium brewed coffee
160;01.01.2023;12:01:20;1;Astoria;75;3,5;Bakery;Pastry
161;01.01.2023;12:03:09;1;Hell's Kitchen;36;3,75;Coffee;Premium brewed coffee
162;01.01.2023;12:03:38;1;Hell's Kitchen;47;3;Tea;Brewed Green tea
163;01.01.2023;12:03:43;1;Astoria;44;2,5;Tea;Brewed herbal tea
164;01.01.2023;12:04:22;2;Hell's Kitchen;27;3,5;Coffee;Organic brewed coffee
165;01.01.2023;12:05:31;2;Astoria;52;2,5;Tea;Brewed Chai tea
166;01.01.2023;12:06:29;1;Lower Manhattan;46;2,5;Tea;Brewed Green tea
167;01.01.2023;12:07:42;1;Hell's Kitchen;24;3;Coffee;Drip coffee
168;01.01.2023;12:08:21;1;Lower Manhattan;43;3;Tea;Brewed herbal tea
169;01.01.2023;12:08:36;1;Hell's Kitchen;35;3,1;Coffee;Premium brewed coffee
170;01.01.2023;12:09:11;2;Astoria;28;2;Coffee;Gourmet brewed coffee
171;01.01.2023;12:09:12;2;Hell's Kitchen;50;2,5;Tea;Brewed Black tea
172;01.01.2023;12:13:07;2;Lower Manhattan;38;3,75;Coffee;Barista Espresso
173;01.01.2023;12:14:26;2;Hell's Kitchen;35;3,1;Coffee;Premium brewed coffee
174;01.01.2023;12:17:38;2;Hell's Kitchen;50;2,5;Tea;Brewed Black tea
175;01.01.2023;12:18:07;2;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee
176;01.01.2023;12:18:44;2;Astoria;49;3;Tea;Brewed Black tea
177;01.01.2023;12:20:16;2;Astoria;60;3,75;Drinking Chocolate;Hot chocolate
178;01.01.2023;12:23:39;1;Astoria;24;3;Coffee;Drip coffee
179;01.01.2023;12:27:06;2;Lower Manhattan;41;4,25;Coffee;Barista Espresso
180;01.01.2023;12:30:46;2;Astoria;44;2,5;Tea;Brewed herbal tea
181;01.01.2023;12:30:49;1;Hell's Kitchen;38;3,75;Coffee;Barista Espresso
182;01.01.2023;12:33:20;2;Astoria;54;2,5;Tea;Brewed Chai tea
183;01.01.2023;12:33:35;2;Astoria;29;2,5;Coffee;Gourmet brewed coffee
184;01.01.2023;12:35:53;2;Lower Manhattan;31;2,2;Coffee;Gourmet brewed coffee
185;01.01.2023;12:36:57;1;Hell's Kitchen;60;3,75;Drinking Chocolate;Hot chocolate
186;01.01.2023;12:38:28;2;Hell's Kitchen;49;3;Tea;Brewed Black tea
187;01.01.2023;12:42:26;1;Astoria;53;3;Tea;Brewed Chai tea
188;01.01.2023;12:44:01;1;Hell's Kitchen;60;3,75;Drinking Chocolate;Hot chocolate
189;01.01.2023;12:44:31;1;Astoria;53;3;Tea;Brewed Chai tea
190;01.01.2023;12:44:32;1;Astoria;52;2,5;Tea;Brewed Chai tea
191;01.01.2023;12:45:52;2;Astoria;28;2;Coffee;Gourmet brewed coffee
192;01.01.2023;12:46:22;1;Astoria;56;2,55;Tea;Brewed Chai tea
193;01.01.2023;12:46:26;1;Astoria;23;2,5;Coffee;Drip coffee
194;01.01.2023;12:46:55;1;Astoria;33;3,5;Coffee;Gourmet brewed coffee
195;01.01.2023;12:46:55;1;Astoria;75;3,5;Bakery;Pastry
196;01.01.2023;12:48:08;2;Astoria;38;3,75;Coffee;Barista Espresso
197;01.01.2023;12:49:48;1;Hell's Kitchen;30;3;Coffee;Gourmet brewed coffee
198;01.01.2023;12:50:15;1;Astoria;59;4,5;Drinking Chocolate;Hot chocolate
199;01.01.2023;12:50:28;2;Astoria;32;3;Coffee;Gourmet brewed coffee
200;01.01.2023;12:51:21;1;Hell's Kitchen;53;3;Tea;Brewed Chai tea
201;01.01.2023;12:51:57;1;Lower Manhattan;61;4,75;Drinking Chocolate;Hot chocolate
202;01.01.2023;12:51:57;1;Lower Manhattan;72;3,25;Bakery;Scone
203;01.01.2023;12:52:18;1;Lower Manhattan;56;2,55;Tea;Brewed Chai tea
204;01.01.2023;12:52:18;1;Lower Manhattan;75;3,5;Bakery;Pastry
205;01.01.2023;12:53:11;2;Hell's Kitchen;29;2,5;Coffee;Gourmet brewed coffee
206;01.01.2023;12:53:59;1;Hell's Kitchen;37;3;Coffee;Barista Espresso
207;01.01.2023;12:55:25;1;Astoria;49;3;Tea;Brewed Black tea
208;01.01.2023;12:55:27;1;Lower Manhattan;57;3,1;Tea;Brewed Chai tea
209;01.01.2023;12:55:27;1;Lower Manhattan;75;3,5;Bakery;Pastry
210;01.01.2023;12:55:36;1;Hell's Kitchen;45;3;Tea;Brewed herbal tea
211;01.01.2023;12:55:53;2;Hell's Kitchen;26;3;Coffee;Organic brewed coffee
212;01.01.2023;12:56:33;1;Astoria;61;4,75;Drinking Chocolate;Hot chocolate
213;01.01.2023;12:56:59;1;Astoria;47;3;Tea;Brewed Green tea
214;01.01.2023;12:58:54;2;Astoria;44;2,5;Tea;Brewed herbal tea
215;01.01.2023;12:59:06;1;Hell's Kitchen;36;3,75;Coffee;Premium brewed coffee
216;01.01.2023;13:00:38;2;Lower Manhattan;30;3;Coffee;Gourmet brewed coffee
217;01.01.2023;13:01:33;2;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee
218;01.01.2023;13:02:40;1;Hell's Kitchen;49;3;Tea;Brewed Black tea
219;01.01.2023;13:02:40;1;Hell's Kitchen;78;4,5;Bakery;Scone
220;01.01.2023;13:02:52;1;Hell's Kitchen;26;3;Coffee;Organic brewed coffee
221;01.01.2023;13:03:13;2;Astoria;43;3;Tea;Brewed herbal tea
222;01.01.2023;13:04:01;2;Hell's Kitchen;25;2,2;Coffee;Organic brewed coffee
223;01.01.2023;13:04:01;1;Hell's Kitchen;72;3,25;Bakery;Scone
224;01.01.2023;13:04:22;2;Hell's Kitchen;42;2,5;Tea;Brewed herbal tea
225;01.01.2023;13:04:37;2;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea
226;01.01.2023;13:04:51;1;Astoria;22;2;Coffee;Drip coffee
227;01.01.2023;13:05:56;1;Astoria;58;3,5;Drinking Chocolate;Hot chocolate
228;01.01.2023;13:07:37;2;Lower Manhattan;24;3;Coffee;Drip coffee
229;01.01.2023;13:09:03;1;Astoria;35;3,1;Coffee;Premium brewed coffee
230;01.01.2023;13:12:03;2;Lower Manhattan;30;3;Coffee;Gourmet brewed coffee
231;01.01.2023;13:13:09;1;Lower Manhattan;60;3,75;Drinking Chocolate;Hot chocolate
232;01.01.2023;13:17:30;1;Hell's Kitchen;56;2,55;Tea;Brewed Chai tea
233;01.01.2023;13:17:32;2;Astoria;55;4;Tea;Brewed Chai tea
234;01.01.2023;13:18:34;2;Hell's Kitchen;49;3;Tea;Brewed Black tea
235;01.01.2023;13:19:09;1;Hell's Kitchen;55;4;Tea;Brewed Chai tea
236;01.01.2023;13:19:09;1;Hell's Kitchen;75;3,5;Bakery;Pastry
237;01.01.2023;13:19:36;1;Astoria;23;2,5;Coffee;Drip coffee
238;01.01.2023;13:19:56;2;Hell's Kitchen;31;2,2;Coffee;Gourmet brewed coffee
239;01.01.2023;13:20:51;2;Astoria;35;3,1;Coffee;Premium brewed coffee
240;01.01.2023;13:21:23;2;Astoria;38;3,75;Coffee;Barista Espresso
241;01.01.2023;13:22:11;1;Lower Manhattan;23;2,5;Coffee;Drip coffee
242;01.01.2023;13:22:45;2;Astoria;46;2,5;Tea;Brewed Green tea
243;01.01.2023;13:23:54;2;Astoria;58;3,5;Drinking Chocolate;Hot chocolate
244;01.01.2023;13:24:29;2;Lower Manhattan;60;3,75;Drinking Chocolate;Hot chocolate
245;01.01.2023;13:30:49;2;Lower Manhattan;31;2,2;Coffee;Gourmet brewed coffee
246;01.01.2023;13:32:07;2;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee
247;01.01.2023;13:32:34;1;Lower Manhattan;87;3;Coffee;Barista Espresso
248;01.01.2023;13:34:12;2;Astoria;28;2;Coffee;Gourmet brewed coffee
249;01.01.2023;13:38:09;1;Hell's Kitchen;27;3,5;Coffee;Organic brewed coffee
250;01.01.2023;13:38:11;2;Hell's Kitchen;40;3,75;Coffee;Barista Espresso
251;01.01.2023;13:39:41;1;Lower Manhattan;51;3;Tea;Brewed Black tea
252;01.01.2023;13:40:47;2;Astoria;54;2,5;Tea;Brewed Chai tea
253;01.01.2023;13:41:09;2;Astoria;42;2,5;Tea;Brewed herbal tea
254;01.01.2023;13:42:10;1;Astoria;43;3;Tea;Brewed herbal tea
255;01.01.2023;13:42:49;1;Lower Manhattan;36;3,75;Coffee;Premium brewed coffee
256;01.01.2023;13:42:58;1;Lower Manhattan;52;2,5;Tea;Brewed Chai tea
257;01.01.2023;13:42:58;1;Lower Manhattan;72;3,25;Bakery;Scone
258;01.01.2023;13:43:18;2;Astoria;54;2,5;Tea;Brewed Chai tea
259;01.01.2023;13:43:18;1;Astoria;69;3,25;Bakery;Biscotti
260;01.01.2023;13:43:41;2;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee
261;01.01.2023;13:44:26;1;Astoria;57;3,1;Tea;Brewed Chai tea
262;01.01.2023;13:47:51;1;Hell's Kitchen;40;3,75;Coffee;Barista Espresso
263;01.01.2023;13:49:03;2;Hell's Kitchen;22;2;Coffee;Drip coffee
264;01.01.2023;13:50:09;1;Lower Manhattan;53;3;Tea;Brewed Chai tea
265;01.01.2023;13:50:47;2;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea
266;01.01.2023;13:51:56;2;Hell's Kitchen;32;3;Coffee;Gourmet brewed coffee
267;01.01.2023;13:53:04;2;Astoria;38;3,75;Coffee;Barista Espresso
268;01.01.2023;13:53:31;1;Hell's Kitchen;33;3,5;Coffee;Gourmet brewed coffee
269;01.01.2023;13:54:18;2;Hell's Kitchen;22;2;Coffee;Drip coffee
270;01.01.2023;13:55:04;1;Lower Manhattan;42;2,5;Tea;Brewed herbal tea
271;01.01.2023;13:55:50;2;Hell's Kitchen;45;3;Tea;Brewed herbal tea
272;01.01.2023;13:56:15;2;Hell's Kitchen;48;2,5;Tea;Brewed Black tea
273;01.01.2023;13:56:24;1;Hell's Kitchen;53;3;Tea;Brewed Chai tea
274;01.01.2023;13:57:34;2;Lower Manhattan;27;3,5;Coffee;Organic brewed coffee
275;01.01.2023;13:57:34;1;Lower Manhattan;71;3,75;Bakery;Pastry
276;01.01.2023;13:58:10;2;Astoria;46;2,5;Tea;Brewed Green tea
277;01.01.2023;13:58:11;1;Lower Manhattan;34;2,45;Coffee;Premium brewed coffee
278;01.01.2023;13:59:58;2;Lower Manhattan;39;4,25;Coffee;Barista Espresso
279;01.01.2023;14:03:34;2;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee
280;01.01.2023;14:03:34;1;Lower Manhattan;69;3,25;Bakery;Biscotti
281;01.01.2023;14:03:41;1;Astoria;32;3;Coffee;Gourmet brewed coffee
282;01.01.2023;14:07:12;2;Astoria;41;4,25;Coffee;Barista Espresso
283;01.01.2023;14:07:56;1;Astoria;23;2,5;Coffee;Drip coffee
284;01.01.2023;14:08:03;1;Hell's Kitchen;24;3;Coffee;Drip coffee
285;01.01.2023;14:08:03;1;Hell's Kitchen;71;3,75;Bakery;Pastry
286;01.01.2023;14:11:14;2;Hell's Kitchen;60;3,75;Drinking Chocolate;Hot chocolate
287;01.01.2023;14:13:28;2;Lower Manhattan;57;3,1;Tea;Brewed Chai tea
288;01.01.2023;14:19:57;2;Lower Manhattan;23;2,5;Coffee;Drip coffee
289;01.01.2023;14:20:06;2;Astoria;35;3,1;Coffee;Premium brewed coffee
290;01.01.2023;14:20:08;2;Astoria;42;2,5;Tea;Brewed herbal tea
291;01.01.2023;14:22:01;2;Hell's Kitchen;49;3;Tea;Brewed Black tea
292;01.01.2023;14:22:38;2;Lower Manhattan;39;4,25;Coffee;Barista Espresso
293;01.01.2023;14:23:28;1;Hell's Kitchen;55;4;Tea;Brewed Chai tea
294;01.01.2023;14:23:28;1;Hell's Kitchen;71;3,75;Bakery;Pastry
295;01.01.2023;14:24:55;2;Astoria;41;4,25;Coffee;Barista Espresso
296;01.01.2023;14:24:55;1;Astoria;79;3,75;Bakery;Scone
297;01.01.2023;14:25:32;2;Astoria;58;3,5;Drinking Chocolate;Hot chocolate
298;01.01.2023;14:25:39;2;Lower Manhattan;24;3;Coffee;Drip coffee
299;01.01.2023;14:26:36;1;Hell's Kitchen;61;4,75;Drinking Chocolate;Hot chocolate
300;01.01.2023;14:29:05;2;Lower Manhattan;45;3;Tea;Brewed herbal tea
301;01.01.2023;14:29:50;2;Lower Manhattan;49;3;Tea;Brewed Black tea
302;01.01.2023;14:29:50;1;Lower Manhattan;78;4,5;Bakery;Scone
303;01.01.2023;14:30:51;1;Hell's Kitchen;48;2,5;Tea;Brewed Black tea
304;01.01.2023;14:30:58;1;Lower Manhattan;57;3,1;Tea;Brewed Chai tea
305;01.01.2023;14:31:26;1;Lower Manhattan;42;2,5;Tea;Brewed herbal tea
306;01.01.2023;14:32:20;2;Hell's Kitchen;30;3;Coffee;Gourmet brewed coffee
307;01.01.2023;14:32:42;2;Lower Manhattan;41;4,25;Coffee;Barista Espresso
308;01.01.2023;14:32:54;2;Hell's Kitchen;39;4,25;Coffee;Barista Espresso
309;01.01.2023;14:35:47;1;Astoria;55;4;Tea;Brewed Chai tea
310;01.01.2023;14:36:23;2;Astoria;30;3;Coffee;Gourmet brewed coffee
311;01.01.2023;14:36:35;1;Lower Manhattan;57;3,1;Tea;Brewed Chai tea
312;01.01.2023;14:37:48;1;Lower Manhattan;44;2,5;Tea;Brewed herbal tea
